names	fccommunity
USO1	4
ARID4B	19
BRD8	20
C1orf94	4
CACNG5	4
CACNG7	4
CASP3	19
CASP8	19
COPS4	4
DAAM1	7
EEA1	14
EEF1D	3
EIF3D	3
ELAVL3	4
FAH	4
GABPB1	4
GAK	15
GOSR1	14
GOSR2	14
HSPA8	14
KIAA0020	3
LIX1L	4
MOB2	4
PLCG1	25
PNISR	4
PNN	6
PPP1R12A	16
PRICKLE2	7
PRICKLE3	7
PRPF3	6
PTP4A3	4
RAB6A	14
RPL30	3
RPL7	3
SNRNP70	6
TFDP2	21
YKT6	14
ZNHIT1	20
ZRSR2	6
ENSG00000137970	3
2-Mar	19
STX6	14
SNAP29	4
STX16	14
5-Mar	12
DENR	12
FIS1	12
MFN2	4
RPS27A	12
UBB	16
UBC	12
ENSG00000196084	12
ADI1	12
GTF2E1	20
KIAA0195	15
MAPK1	15
MCOLN3	19
MPDZ	22
MSS51	4
NUAK1	4
RPS4X	3
RPS8	3
RPS9	16
RPSA	23
RPSAP58	23
TAF10	20
VDAC3	23
ENSG00000151514	21
ENSG00000101898	18
ENSG00000187899	3
ASPG	4
MFN1	4
PAK7	4
ABHD1	12
ACO2	23
ACOX1	18
ACSL4	23
ACSS2	23
ACTC1	16
ACTG1	16
ACTG2	16
ACTN1	16
ACTN4	15
ACTR3	16
ACVR1	15
ADAM19	12
ADRBK1	22
AGGF1	4
AHRR	16
AHSA1	23
AIFM1	6
AK3	13
ALYREF	6
ANXA1	12
ANXA2	15
ANXA6	16
AP2A1	15
AP2B1	15
AP2M1	15
AP2S1	16
ARFGEF2	3
ARPC2	16
ARPC3	16
ASAP1	12
ASAP2	12
ATAD3A	16
ATIC	23
ATP2A2	1
ATP5B	15
ATP5C1	15
ATP6V1A	23
ATP6V1B2	14
ATP6V1F	14
ATXN10	12
ATXN3	12
BAG2	6
BAG6	4
BCAR3	12
BCLAF1	16
BCR	1
BIN3	14
BMP2K	15
BMPR1B	21
BOLA3	6
BOP1	3
C11orf54	12
C6orf48	12
C7orf55-LUC7L2	16
CA2	22
CAD	14
CAP1	23
CAP2	23
CAPZB	16
CAV1	12
CBL	25
CBLB	16
CBS	23
CCAR1	6
CCM2L	16
CCNA2	21
CCNC	6
CCT2	1
CCT3	1
CD2AP	14
CD59	16
CDC20	21
CDC25A	23
CDC34	12
CDC7	20
CDK19	6
CDK8	6
CDKN1A	21
CDT1	23
CFL1	16
CFL2	16
CFTR	12
CHEK2	20
CHIA	3
CIRH1A	3
CLPB	23
CNOT1	13
CNOT3	14
COPA	23
COPB2	23
CORO1B	16
CORO1C	16
CPSF3	6
CSE1L	1
CSF3R	25
CTNND1	12
CTPS1	23
CTTN	16
CYB5R2	20
CYCS	23
CYP3A5	14
CYP4F2	14
CYP51A1	14
DAPK3	16
DARS	23
DAXX	21
DBN1	16
DCD	13
DDR2	12
DDX18	3
DDX31	6
DDX3X	1
DDX3Y	3
DDX5	16
DDX52	1
DHRS11	23
DHRS2	12
DICER1	13
DIP2B	12
DKC1	3
DLGAP4	22
DLST	16
DNAJA2	1
DNAJA3	1
DNAJB1	12
DNAJB2	24
DNALI1	6
DNM2	6
DUSP1	15
DUT	16
DYNLL1	16
EEF1A1	14
EEF1GP1	1
EEF2	23
EFNB1	12
EGFR	16
EIF1AX	3
EIF2B3	3
EIF2B5	3
EIF2S1	3
EIF3A	3
EIF3B	3
EIF3C	3
EIF3E	1
EIF3F	3
EIF3G	3
EIF3H	3
EIF3I	1
EIF3K	3
EIF4A1	23
EIF4A2	3
EIF4A3	16
EIF4E	3
EIF5A	23
EIF5B	3
ENO1	12
ENO3	23
ENTHD1	14
EPHA2	15
EPHB4	15
EPN3	14
EPS15	23
ERCC4	20
ESX1	14
EVI5	14
EXOC3	14
EXOC4	6
FAU	3
FBXO9	12
FBXW7	1
FDPS	23
FKBP1A	23
FLII	16
FLNA	16
FLNB	16
FSCN1	16
FSHR	22
GAPDH	23
GCH1	23
GCK	17
GFPT2	23
GGA1	14
GGA3	14
GLUL	23
GMFB	16
GMPPB	14
GMPS	3
GNAI1	22
GNAI3	22
GNL3	3
GOT1	23
GPATCH4	12
GPN3	6
GRB2	16
GRWD1	16
GSN	16
GSPT2	3
GSTM3	16
GSTP1	16
GTF2E2	20
H1F0	20
H2AFX	20
HADHB	1
HBA2	13
HEBP1	13
HECW2	12
HERC3	12
HGS	4
HIST1H1E	12
HIST1H2AB	20
HIST1H2AC	20
HIST1H2AD	20
HIST1H2AE	20
HIST1H2AH	20
HIST1H2AI	20
HIST1H2AL	20
HIST1H2BB	20
HIST1H2BC	20
HIST1H2BD	20
HIST1H2BE	20
HIST1H2BF	20
HIST1H2BG	20
HIST1H2BH	16
HIST1H2BI	20
HIST1H2BJ	20
HIST1H2BK	20
HIST1H2BL	1
HIST1H2BM	20
HIST1H2BO	20
HIST1H3C	16
HIST1H3D	16
HIST1H3E	16
HIST1H3H	16
HIST1H3I	16
HIST1H3J	16
HIST1H4A	20
HIST1H4B	20
HIST1H4C	20
HIST1H4D	20
HIST1H4E	20
HIST1H4F	20
HIST1H4H	20
HIST1H4I	20
HIST1H4J	20
HIST1H4K	20
HIST1H4L	20
HIST2H2AA3	16
HIST2H2AA4	16
HIST2H2BE	20
HIST2H2BF	20
HIST2H4A	20
HIST3H2A	20
HIST3H2BB	20
HIST4H4	20
HMGCLL1	23
HMGCR	14
HNRNPA1	16
HNRNPA2B1	16
HNRNPD	6
HNRNPF	1
HNRNPH2	16
HNRNPK	1
HNRNPM	6
HNRNPU	16
HRSP12	23
HSP90AA1	12
HSP90AB1	12
HSPA1B	12
HSPA1L	16
HSPA5	16
HSPA6	12
HSPA9	12
HSPB1	1
HSPD1	9
HSPH1	1
HTRA1	16
HUWE1	1
ICAM1	12
IDH3G	1
IKBKG	12
ILF3	16
IMPDH1	3
IMPDH2	16
IP6K1	3
IPO4	1
IPO7	1
IQGAP1	16
IRAK1	1
ITCH	25
ITPR3	16
KARS	23
KAT2B	20
KIAA1432	22
KIF3A	20
KLF5	21
KPNA2	1
KPNB1	1
KRT14	13
KRT17P2	16
KRT18	16
KRT5	13
KRT7	16
KRT8	16
LARP1B	3
LARS	23
LCK	25
LEPR	25
LEPROT	25
LGALS2	12
LGALS3	12
LIMA1	16
LMO7	16
LONP1	1
LRPPRC	1
LRRC59	12
LRRFIP2	16
LUC7L3	6
LUZP1	16
MAP3K1	25
MAP3K19	3
MAP3K3	15
MAP3K7	12
MARS	1
MAST2	12
MAT1A	23
MCM2	20
MCM4	20
MCM7	1
MDM2	21
MDM4	21
MDN1	3
MECR	14
MED1	6
MED10	6
MED11	6
MED12	6
MED13L	6
MED14	6
MED15	6
MED16	6
MED17	6
MED20	6
MED21	6
MED22	6
MED24	6
MED25	6
MED27	6
MED28	6
MED30	6
MED31	6
MED4	6
MED6	6
MED8	6
MED9	6
MME	12
MPRIP	16
MTHFD1	12
MYBBP1A	1
MYH10	16
MYH14	16
MYL12A	16
MYL12B	16
MYL6	16
MYO1A	16
MYO1B	16
MYO3B	16
MYO5B	14
MYO6	16
NANS	12
NAP1L1	20
NCL	1
NEDD4	6
NEXN	16
NFKBIA	12
NFKBIB	12
NHP2	3
NHP2L1	6
NOL6	3
NOLC1	6
NOP56	1
NOP58	6
NPLOC4	14
NPM1	16
NSFL1C	20
NUB1	21
NUMA1	6
NVL	3
OAT	1
OLA1	23
ORC1	23
ORC5	20
OTUD7B	12
P4HB	6
PABPC1	11
PAK2	14
PARK2	22
PAWR	16
PC	23
PCMT1	16
PDLIM7	16
PEX19	12
PGAM2	23
PGD	23
PGK1	23
PHGDH	16
PKM	23
PKP2	12
PLEC	16
PLK1	1
PLS3	16
PM20D1	12
POLH	20
POLI	12
POLR1A	3
POLR1B	3
POLR1D	20
POLR2A	6
POLR2C	6
POLR2D	6
POLR2E	6
POLR2G	6
POLR2J	6
POLR2K	6
PPA1	23
PPIA	16
PPIF	23
PPP1CB	16
PPP1R9B	16
PPP2R1A	22
PPP3CA	16
PRDX1	16
PRDX2	22
PRKAA2	17
PRKAB2	15
PRKAR2A	22
PRKCB	15
PRODH	4
PSMA1	1
PSMA2	1
PSMA3	1
PSMA4	1
PSMA5	1
PSMA6	23
PSMA7	1
PSMB1	1
PSMB2	23
PSMB3	1
PSMB4	1
PSMB5	1
PSMB6	23
PSMB7	23
PSMC1	1
PSMC3	1
PSMC4	1
PSMC6	1
PSMD1	23
PSMD10	23
PSMD11	23
PSMD12	23
PSMD13	23
PSMD14	23
PSMD2	23
PSMD4	1
PSMD6	23
PSMD7	23
PSMD8	23
PSME2	23
PTK2	15
PTK2B	15
PTPN11	16
PTRH2	4
PWP1	3
PXN	12
RAB1A	14
RAD23B	23
RAI14	16
RAN	22
RAP1B	14
RAPGEF4	25
RBBP5	20
RBM10	4
RBM28	3
RBM34	3
