"names"	"fccommunity"
"1"	"1-Mar"	"25"
"2"	"USO1"	"4"
"3"	"ARID4B"	"19"
"4"	"BRD8"	"20"
"5"	"C1orf94"	"4"
"6"	"CACNG5"	"4"
"7"	"CACNG7"	"4"
"8"	"CASP3"	"19"
"9"	"CASP8"	"19"
"10"	"COPS4"	"4"
"11"	"DAAM1"	"7"
"12"	"EEA1"	"14"
"13"	"EEF1D"	"3"
"14"	"EIF3D"	"3"
"15"	"ELAVL3"	"4"
"16"	"FAH"	"4"
"17"	"GABPB1"	"4"
"18"	"GAK"	"15"
"19"	"GOSR1"	"14"
"20"	"GOSR2"	"14"
"21"	"HSPA8"	"14"
"22"	"KIAA0020"	"3"
"23"	"LIX1L"	"4"
"24"	"MOB2"	"4"
"25"	"PLCG1"	"25"
"26"	"PNISR"	"4"
"27"	"PNN"	"6"
"28"	"PPP1R12A"	"16"
"29"	"PRICKLE2"	"7"
"30"	"PRICKLE3"	"7"
"31"	"PRPF3"	"6"
"32"	"PTP4A3"	"4"
"33"	"RAB6A"	"14"
"34"	"RPL30"	"3"
"35"	"RPL7"	"3"
"36"	"SNRNP70"	"6"
"37"	"TFDP2"	"21"
"38"	"YKT6"	"14"
"39"	"ZNHIT1"	"20"
"40"	"ZRSR2"	"6"
"41"	"ENSG00000137970"	"3"
"42"	"2-Mar"	"19"
"43"	"STX6"	"14"
"44"	"SNAP29"	"4"
"45"	"STX16"	"14"
"46"	"5-Mar"	"12"
"47"	"DENR"	"12"
"48"	"FIS1"	"12"
"49"	"MFN2"	"4"
"50"	"RPS27A"	"12"
"51"	"UBB"	"16"
"52"	"UBC"	"12"
"53"	"ENSG00000196084"	"12"
"54"	"ADI1"	"12"
"55"	"GTF2E1"	"20"
"56"	"KIAA0195"	"15"
"57"	"MAPK1"	"15"
"58"	"MCOLN3"	"19"
"59"	"MPDZ"	"22"
"60"	"MSS51"	"4"
"61"	"NUAK1"	"4"
"62"	"RPS4X"	"3"
"63"	"RPS8"	"3"
"64"	"RPS9"	"16"
"65"	"RPSA"	"23"
"66"	"RPSAP58"	"23"
"67"	"TAF10"	"20"
"68"	"VDAC3"	"23"
"69"	"ENSG00000151514"	"21"
"70"	"ENSG00000101898"	"18"
"71"	"ENSG00000187899"	"3"
"72"	"ASPG"	"4"
"73"	"MFN1"	"4"
"74"	"PAK7"	"4"
"75"	"ABHD1"	"12"
"76"	"ACO2"	"23"
"77"	"ACOX1"	"18"
"78"	"ACSL4"	"23"
"79"	"ACSS2"	"23"
"80"	"ACTC1"	"16"
"81"	"ACTG1"	"16"
"82"	"ACTG2"	"16"
"83"	"ACTN1"	"16"
"84"	"ACTN4"	"15"
"85"	"ACTR3"	"16"
"86"	"ACVR1"	"15"
"87"	"ADAM19"	"12"
"88"	"ADRBK1"	"22"
"89"	"AGGF1"	"4"
"90"	"AHRR"	"16"
"91"	"AHSA1"	"23"
"92"	"AIFM1"	"6"
